time,delta,in_flight
2102-04-03 21:40:00+00:00,2,2
2102-04-03 21:52:00+00:00,1,3
2102-04-03 22:02:00+00:00,1,4
2102-04-03 22:04:00+00:00,1,5
2102-04-03 22:19:00+00:00,1,6
2102-04-03 22:20:00+00:00,1,7
2102-04-03 22:44:00+00:00,1,8
2102-04-03 22:45:00+00:00,1,9
2102-04-03 23:11:55+00:00,-1,8
2102-04-03 23:13:44+00:00,-1,7
2102-04-03 23:16:00+00:00,1,8
2102-04-03 23:17:00+00:00,2,10
2102-04-03 23:17:13+00:00,-1,9
2102-04-03 23:19:59+00:00,-1,8
2102-04-03 23:26:10+00:00,-1,7
2102-04-03 23:27:39+00:00,-1,6
2102-04-03 23:32:21+00:00,-1,5
2102-04-03 23:47:51+00:00,-1,4
2102-04-04 00:13:00+00:00,1,5
2102-04-04 00:26:35+00:00,-1,4
2102-04-04 00:39:00+00:00,1,5
2102-04-04 00:42:00+00:00,1,6
2102-04-04 00:52:22+00:00,-1,5
2102-04-04 00:55:35+00:00,-1,4
2102-04-04 01:07:00+00:00,1,5
2102-04-04 01:08:39+00:00,-1,4
2102-04-04 01:13:11+00:00,-1,3
2102-04-04 01:26:27+00:00,-1,2
2102-04-04 02:00:35+00:00,-1,1
2102-04-04 02:28:35+00:00,-1,0
2102-04-04 03:32:00+00:00,1,1
2102-04-04 06:19:04+00:00,-1,0
2102-04-06 01:05:00+00:00,2,2
2102-04-06 01:40:53+00:00,-1,1
2102-04-06 03:32:00+00:00,2,3
2102-04-06 04:02:51+00:00,-1,2
2102-04-06 04:32:06+00:00,-1,1
2102-04-06 06:35:00+00:00,2,3
2102-04-06 06:53:12+00:00,-1,2
2102-04-06 07:17:52+00:00,-1,1
2102-04-06 08:14:30+00:00,-1,0
2102-04-06 21:20:00+00:00,2,2
2102-04-06 21:35:00+00:00,2,4
2102-04-06 21:37:00+00:00,2,6
2102-04-06 21:42:00+00:00,2,8
2102-04-06 21:45:57+00:00,-1,7
2102-04-06 21:56:22+00:00,-1,6
2102-04-06 22:07:00+00:00,2,8
2102-04-06 22:21:06+00:00,-1,7
2102-04-06 22:24:00+00:00,2,9
2102-04-06 22:25:00+00:00,1,10
2102-04-06 22:45:00+00:00,2,12
2102-04-06 23:04:34+00:00,-1,11
2102-04-06 23:16:59+00:00,-1,10
2102-04-06 23:20:11+00:00,-1,9
2102-04-06 23:31:43+00:00,-1,8
2102-04-06 23:54:05+00:00,-1,7
2102-04-07 00:02:16+00:00,-1,6
2102-04-07 00:21:31+00:00,-1,5
2102-04-07 00:35:00+00:00,2,7
2102-04-07 00:35:57+00:00,-1,6
2102-04-07 00:51:08+00:00,-1,5
2102-04-07 00:51:58+00:00,-1,4
2102-04-07 00:57:42+00:00,-1,3
2102-04-07 01:05:00+00:00,2,5
2102-04-07 02:33:12+00:00,-1,4
2102-04-07 03:02:40+00:00,-1,3
2102-04-07 04:53:13+00:00,-1,2
2102-04-07 05:07:33+00:00,-1,1
2102-04-07 05:20:33+00:00,-1,0
2102-04-07 22:40:00+00:00,2,2
2102-04-07 23:00:00+00:00,2,4
2102-04-07 23:48:58+00:00,-1,3
2102-04-08 01:21:34+00:00,-1,2
2102-04-08 01:40:54+00:00,-1,1
2102-04-08 02:42:22+00:00,-1,0
2102-04-10 21:47:00+00:00,1,1
2102-04-10 21:48:00+00:00,2,3
2102-04-10 21:49:00+00:00,1,4
2102-04-10 21:56:00+00:00,1,5
2102-04-10 22:03:00+00:00,1,6
2102-04-10 22:12:41+00:00,-1,5
2102-04-10 22:32:00+00:00,1,6
2102-04-10 22:39:51+00:00,-1,5
2102-04-10 22:42:56+00:00,-1,4
2102-04-10 22:43:00+00:00,1,5
2102-04-10 22:51:00+00:00,1,6
2102-04-10 22:59:00+00:00,2,8
2102-04-10 23:25:02+00:00,-1,7
2102-04-10 23:28:00+00:00,1,8
2102-04-10 23:33:07+00:00,-1,7
2102-04-10 23:48:50+00:00,-1,6
2102-04-10 23:57:00+00:00,1,7
2102-04-11 00:05:08+00:00,-1,6
2102-04-11 00:12:02+00:00,-1,5
2102-04-11 00:20:00+00:00,1,6
2102-04-11 00:29:16+00:00,-1,5
2102-04-11 00:48:06+00:00,-1,4
2102-04-11 00:55:00+00:00,1,5
2102-04-11 01:35:40+00:00,-1,4
2102-04-11 01:38:00+00:00,1,5
2102-04-11 01:54:01+00:00,-1,4
2102-04-11 02:13:14+00:00,-1,3
2102-04-11 02:53:39+00:00,-1,2
2102-04-11 03:15:44+00:00,-1,1
2102-04-11 04:00:00+00:00,1,2
2102-04-11 05:57:23+00:00,-1,1
2102-04-11 09:15:47+00:00,-1,0
2102-04-13 21:26:00+00:00,2,2
2102-04-13 21:47:00+00:00,2,4
2102-04-13 21:54:00+00:00,2,6
2102-04-13 22:01:00+00:00,2,8
2102-04-13 22:29:52+00:00,-1,7
2102-04-13 22:30:45+00:00,-1,6
2102-04-13 22:32:50+00:00,-1,5
2102-04-13 22:42:44+00:00,-1,4
2102-04-13 22:51:00+00:00,2,6
2102-04-13 23:42:22+00:00,-1,5
2102-04-13 23:44:00+00:00,2,7
2102-04-13 23:49:08+00:00,-1,6
2102-04-14 00:20:00+00:00,2,8
2102-04-14 00:29:00+00:00,2,10
2102-04-14 00:45:00+00:00,2,12
2102-04-14 00:55:53+00:00,-1,11
2102-04-14 01:19:28+00:00,-1,10
2102-04-14 01:45:06+00:00,-1,9
2102-04-14 01:46:11+00:00,-1,8
2102-04-14 02:18:34+00:00,-1,7
